code,plain_name,source
A4423,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2",cms_hcpcs_l2
A4424,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",cms_hcpcs_l2
A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with",cms_hcpcs_l2
A4426,"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece",cms_hcpcs_l2
A4427,"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2",cms_hcpcs_l2
A4428,"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type",cms_hcpcs_l2
A4429,"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with",cms_hcpcs_l2
A4430,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in",cms_hcpcs_l2
A4431,"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve",cms_hcpcs_l2
A4432,"Ostomy pouch, urinary; for use on barrier with non-locking flange, with",cms_hcpcs_l2
A4433,"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each",cms_hcpcs_l2
A4434,"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type",cms_hcpcs_l2
A4435,"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece",cms_hcpcs_l2
A4436,"Irrigation supply; sleeve, reusable, per month",cms_hcpcs_l2
A4437,"Irrigation supply; sleeve, disposable, per month",cms_hcpcs_l2
A4438,Adhesive clip applied to the skin to secure external electrical nerve,cms_hcpcs_l2
A4450,"Tape, non-waterproof, per 18 square inches",cms_hcpcs_l2
A4452,"Tape, waterproof, per 18 square inches",cms_hcpcs_l2
A4453,"Rectal catheter with or without balloon, for use with any type transanal",cms_hcpcs_l2
A4455,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce",cms_hcpcs_l2
A4456,"Adhesive remover, wipes, any type, each",cms_hcpcs_l2
A4457,"Enema tube, with or without adapter, any type, replacement only, each",cms_hcpcs_l2
A4458,"Enema bag with tubing, reusable",cms_hcpcs_l2
A4459,"Manual transanal irrigation system, includes water reservoir, pump, tubing, and",cms_hcpcs_l2
A4461,"Surgical dressing holder, non-reusable, each",cms_hcpcs_l2
A4463,"Surgical dressing holder, reusable, each",cms_hcpcs_l2
A4465,Non-elastic binder for extremity,cms_hcpcs_l2
A4466,"Garment, belt, sleeve or other covering, elastic or similar stretchable",cms_hcpcs_l2
A4467,"Belt, strap, sleeve, garment, or covering, any type",cms_hcpcs_l2
A4468,"Exsufflation belt, includes all supplies and accessories",cms_hcpcs_l2
A4470,Gravlee jet washer,cms_hcpcs_l2
A4480,Vabra aspirator,cms_hcpcs_l2
A4481,"Tracheostoma filter, any type, any size, each",cms_hcpcs_l2
A4483,"Moisture exchanger, disposable, for use with invasive mechanical ventilation",cms_hcpcs_l2
A4490,"Surgical stockings above knee length, each",cms_hcpcs_l2
A4495,"Surgical stockings thigh length, each",cms_hcpcs_l2
A4500,"Surgical stockings below knee length, each",cms_hcpcs_l2
A4510,"Surgical stockings full length, each",cms_hcpcs_l2
A4520,"Incontinence garment, any type, (e.g., brief, diaper), each",cms_hcpcs_l2
A4540,"Distal transcutaneous electrical nerve stimulator, stimulates peripheral nerves",cms_hcpcs_l2
A4541,Monthly supplies for use of device coded at e0733,cms_hcpcs_l2
A4542,Supplies and accessories for external upper limb tremor stimulator of the,cms_hcpcs_l2
A4543,"Supplies for transcutaneous electrical nerve stimulator, for nerves in the",cms_hcpcs_l2
A4544,Electrode for external lower extremity nerve stimulator for restless legs,cms_hcpcs_l2
A4545,"Supplies and accessories for external tibial nerve stimulator (e.g., socks, gel",cms_hcpcs_l2
A4550,Surgical trays,cms_hcpcs_l2
A4553,"Non-disposable underpads, all sizes",cms_hcpcs_l2
A4554,"Disposable underpads, all sizes",cms_hcpcs_l2
A4555,Electrode/transducer for use with electrical stimulation device used for cancer,cms_hcpcs_l2
A4556,"Electrodes, (e.g., apnea monitor), per pair",cms_hcpcs_l2
A4557,"Lead wires, (e.g., apnea monitor), per pair",cms_hcpcs_l2
A4558,"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per",cms_hcpcs_l2
A4559,"Coupling gel or paste, for use with ultrasound device, per oz",cms_hcpcs_l2
A4560,"Neuromuscular electrical stimulator (nmes), disposable, replacement only",cms_hcpcs_l2
A4561,"Pessary, reusable, rubber, any type",cms_hcpcs_l2
